PRINCÍPIO ATIVO,CNPJ,LABORATÓRIO,CÓDIGO GGREM,REGISTRO,EAN 1,EAN 2,EAN 3,PRODUTO,APRESENTAÇÃO,CLASSE TERAPÊUTICA,TIPO DE PRODUTO (STATUS DO PRODUTO),REGIME DE PREÇO,PF Sem Impostos,PF 0%,PF 12%,PF 17%,PF 17% ALC,"PF 17,5%","PF 17,5% ALC",PF 18%,PF 18% ALC,PF 20%,PMVG Sem Impostos,PMVG 0%,PMVG 12%,PMVG 17%,PMVG 17% ALC,"PMVG 17,5%","PMVG 17,5% ALC",PMVG 18%,PMVG 18% ALC,RESTRIÇÃO HOSPITALAR,PMVG 20%,CAP,CONFAZ 87,ICMS 0%,ANÁLISE RECURSAL,LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS),COMERCIALIZAÇÃO 2020,TARJA,Column1,_1,_2,_3,_4,_5,_6,_7,_8
EPINEFRINA;BENZENO;MENTOL;BENZOCAÍNA,19.791.813/0001-75,LABORATÓRIOS OSÓRIO DE MORAES LTDA,522101601169411,1050400110018,7898089300059,    -,    -,POMADA DE ERVA DE BICHO ADRENALINA E HAMAMÉLIS COMPOSTA IMESCARD,POM RET CT BG AL X 25 G + APLIC,C5A2 - ANTI-HEMORROIDAIS SEM CORTICOSTERÓIDES,Novo,Liberado,1975,2212,2556,2733,2380,2753,2394,2772,2409,2852,1550,1736,2006,2145,1868,2160,1879,2175,1890,Não,2238,Não,Não,Não,,Negativa,Sim,Tarja Venda Livre,"","","","","","","","",""
EPINEFRINA;CLORIDRATO DE ARTICAÍNA,33.112.665/0001-46,DFL INDÚSTRIA E COMÉRCIO S/A,507201101156410,1017700250018,7894590501930,    -,    -,ARTICAINE,"72 MG + 18 MCG  SOL INJ CT BL TRANS X 20 CARP VD TRANS X 1,8 ML",N1B2 - ANESTÉSICOS LOCAIS INJETÁVEIS ODONTOLÓGICOS,Similar,Liberado,11133,11133,12651,13413,13413,13495,13495,13577,13577,13916,8736,8736,9927,10525,10525,10590,10590,10654,10654,Não,10920,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
EPINEFRINA;CLORIDRATO DE LIDOCAINA,33.112.665/0001-46,DFL INDÚSTRIA E COMÉRCIO S/A,507200101152417,1017700160027,7894590578864,    -,    -,ALPHACAINE,"20 MG/ML + 0,01 MG/ML SOL INJ CT BL AL PLAS INC X 50 CARP VD INC X 1,8 ML",N1B2 - ANESTÉSICOS LOCAIS INJETÁVEIS ODONTOLÓGICOS,Similar,Liberado,6868,6868,7805,8275,8275,8325,8325,8376,8376,8585,5389,5389,6125,6493,6493,6533,6533,6573,6573,Não,6737,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
EPINEFRINA;CLORIDRATO DE MEPIVACAÍNA,33.112.665/0001-46,DFL INDÚSTRIA E COMÉRCIO S/A,507200401156418,1017700220011,7894590564805,    -,    -,MEPIADRE,"20MG/ML+10MCG/ML SOL INJ CT BL 50 CAR VD TRANS X 1,8 ML",N1B2 - ANESTÉSICOS LOCAIS INJETÁVEIS ODONTOLÓGICOS,Similar,Liberado,10179,10179,11567,12264,12264,12338,12338,12413,12413,12724,7987,7987,9077,9624,9624,9682,9682,9740,9740,Sim,9985,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ERDAFITINIBE,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514520030036507,1123634330013,7896212479979,    -,    -,ERFANDEL,3 MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 56,L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE,Novo,Regulado,2824466,3163402,3655589,3909104,3402970,3936408,3423595,3964094,3444470,4078862,2216358,2482322,2868541,3067474,2670311,3088899,2686495,3110625,2702876,Não,3200683,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ERENUMABE,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526519080094902,1006811600038,7896261021600,    -,    -,PASURTA,70 MG/ML SOL INJ CT 1 SER PREENC VD TRANS X 1 ML,N2C2 - ANTAGONISTAS DA CGRP ANTI-ENXAQUECA,Biológico,Regulado,159695,178858,206686,221020,192403,222564,193569,224129,194750,230618,125313,140350,162187,173434,150979,174646,151894,175874,152820,Não,180966,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ERGOTAMINA;CAFEÍNA ANIDRA;DIPIRONA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500502001110418,1057300690051,7896658001079,    -,    -,CEFALIV,01 MG + 100 MG + 350 MG COM CT BL AL PLAS INC X 12,N2C9 - TODOS AS OUTRAS PREPARAÇÕES ANTIENXAQUECOSAS,Novo,Regulado,979,1096,1267,1354,1179,1364,1186,1373,1193,1413,768,860,994,1062,925,1070,931,1077,936,Não,1109,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
ERITROMICINA,63.064.653/0001-54,LABORATÓRIOS STIEFEL LTDA,522603301161411,1067500120052,7896251800345,    -,    -,STIEMYCIN,20 MG/G GEL CT BG AL X 60 G ,D10A - ANTIACNEICOS TÓPICOS,Similar,Regulado,1769,1981,2289,2448,2131,2465,2144,2482,2157,2554,1388,1554,1796,1921,1672,1934,1682,1948,1693,Não,2004,Não,Não,Não,,Negativa,Não,Tarja  Vermelha,"","","","","","","","",""
ERITROPOETINA HUMANA RECOMBINANTE,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504416060056503,1163700591362,7896014663262,    -,    -,ALFAEPOETINA,"40000 UI/ML SOL INJ CT 1 SER PREENCHIDA X 0,5 ML + SISTEMA SEGURANÇA",B3C - ERITROPOIETÍNAS,Biológico,Regulado,60297,60297,,,,,,,,,47315,47315,,,,,,,,Não,,Sim,Sim,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ERITROPOIETINA,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,504413808151417,1163700591516,7896014658008,    -,    -,ALFAEPOETINA,"2000 UI/ML SOL INJ CT 1 SER PREENCHIDAS X 0,5 ML  + SISTEMA DE SEGURANÇA",B3C - ERITROPOIETÍNAS,Biológico,Regulado,4911,4911,5581,5917,5917,5953,5953,5989,5989,6139,3854,3854,4379,4643,4643,4671,4671,4700,4700,Não,4817,Sim,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ERLOTINIBE,33.009.945/0001-23,PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,529208001115213,1010006510011,7896226505145,    -,    -,TARCEVA,25 MG COM REV CT BL AL PVC X 30,"L1H2 - INIBIDORES PREOTEÍNA KINASE ANTINEOPLÁSICOS, EGFR",Novo,Regulado,225258,225258,255975,271395,271395,273040,273040,274705,274705,281573,176760,176760,200864,212964,212964,214254,214254,215561,215561,Não,220950,Não,Não,Sim,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ERTAPENÉM SÓDICO,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525501301159216,1002900340012,7897337700306,    -,    -,INVANZ,1 G PO LIOF SOL INJ IM/IV CT FA VD TRANS,J1P2 - CARBAPENEMES E PENEMES,Novo,Regulado,34997,34997,39769,42165,42165,42421,42421,42679,42679,43746,27462,27462,31207,33087,33087,33288,33288,33490,33490,Sim,34327,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESILATO DE NINTEDANIBE,60.831.658/0001-77,BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,504516020020201,1036701730011,7896026306683,    -,    -,OFEV,100 MG CAP MOLE CT BL AL AL X 60,L1H9 - OUTROS ANTINEOPLÁSICOS INIBIDORES DA PROTEÍNA KINASE,Novo,Regulado,653956,732431,846388,905085,787899,911407,792674,917817,797507,944390,513159,574739,664161,710220,618264,715181,622011,720211,625804,Não,741063,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESOMEPRAZOL MAGNÉSICO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508017100119904,1004312170015,7891317123529,    -,    -,ÉSIO,20 MG COM REV LIB RETARD CT BL AL AL X 7 ,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,Similar,Regulado,1872,1872,2127,2255,2255,2269,2269,2283,2283,2340,1469,1469,1669,1769,1769,1780,1780,1791,1791,Não,1836,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531619120085607,1356907000045,7894916514019,    -,    -,ESOMEX,20 MG COM REV LIB RETARD CT BL AL AL X 56,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,Similar,Regulado,22773,22773,25878,27437,27437,27604,27604,27772,27772,28466,17870,17870,20306,21530,21530,21661,21661,21793,21793,Não,22337,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO;AMOXICILINA TRIHIDRATADA;CLARITROMICINA,57.507.378/0003-65,EMS S/A,541821070163303,1023510960061,7894916516730,    -,    -,ESOGASTRO IBP,500 MG CAP DURA + 500 MG COM REV + 20 MG COM REV LIB RETARD CT BL AL AL X 28 +14 + 28,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,Novo,Regulado,13211,14796,17098,18284,15917,18412,16013,18541,16111,19078,10367,11610,13417,14347,12490,14448,12565,14549,12642,Não,14971,Não,Não,Não,,Negativa,Não,Tarja Vermelha (*),"","","","","","","","",""
ESOMEPRAZOL MAGNÉSICO TRI-HIDRATADO;AMOXICILINA TRIHIDRATADA;ESOMEPRAZOL MAGNÉSICO DI-HIDRATADO;CLARITROMICINA;AMOXICILINA TRI-HIDRATADA,57.507.378/0003-65,EMS S/A,541820020118607,1023510960051,7894916510202,    -,    -,ESOGASTRO IBP,500 MG CAP DURA + 500 MG COM REV + 20 MG COM REV LIB RETARD CT BL AL AL X 28 +14 + 42,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,Novo,Regulado,15853,17755,20517,21940,19100,22094,19215,22249,19333,22893,12440,13932,16100,17216,14988,17337,15078,17459,15171,Não,17964,Não,Não,Não,,Negativa,Sim,Tarja Vermelha (*),"","","","","","","","",""
ESOMEPRAZOL MAGNÉSIO,00.923.140/0001-31,EMS SIGMA PHARMA LTDA,531620020086707,1356907000010,7894916512053,    -,    -,ESOMEX,20 MG COM REV LIB RETARD CT BL AL AL X 7,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,Similar,Regulado,2847,2847,3235,3430,3430,3451,3451,3472,3472,3559,2234,2234,2539,2692,2692,2708,2708,2724,2724,Não,2793,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
ESOMEPRAZOL SÓDICO,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508012080093504,1004310610026,7891317486594,    -,    -,ÉSIO,"40 MG PO LIOF SOL INJ CT 10 FA VD TRANS X 6,5 ML",A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,Similar,Regulado,45909,45909,52169,55312,55312,55647,55647,55987,55987,57386,36025,36025,40937,43403,43403,43666,43666,43933,43933,Não,45031,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ESOMEPRAZOL;CLARITROMICINA;AMOXICILINA TRI-HIDRATADA,57.507.378/0003-65,EMS S/A,541814050007507,1023510960027,7894916514248,    -,    -,ESOGASTRO IBP,500 MG CAP DURA CT BL AL PLAS TRANS X 28 + 500 MG COM REV CT BL AL PLAS OPC X 14 + 20 MG COM REV CT BL AL AL X 42 ,A2B2 - INIBIDORES DA BOMBA DE PRÓTONS,Novo,Regulado,15853,17755,20517,21940,19100,22094,19215,22249,19333,22893,12440,13932,16100,17216,14988,17337,15078,17459,15171,Não,17964,Não,Não,Não,,Negativa,Não,Tarja Vermelha (*),"","","","","","","","",""
ESPIRAMICINA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576719120051517,1832603630019,7896070605497,    -,    -,ROVAMICINA,"1,5 MUI COM REV CT BL AL PLAS TRANS X 16",J1F - MACROLIDEOS E SIMILARES,Novo,Regulado,4969,4969,5647,5987,5987,6023,6023,6060,6060,6211,3899,3899,4431,4698,4698,4726,4726,4755,4755,Não,4874,Não,Não,Não,,Positiva,Sim,Tarja Vermelha (*),"","","","","","","","",""
ESPIRONOLACTONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508023003119115,1004309520043,7891317431358,    -,    -,ESPIRONOLACTONA,25 MG COM CT BL AL PLAS TRANS X 30,C3A1 - AGENTES DIURÉTICOS POUPADORES POTÁSSIO PUROS,Genérico,Regulado,1448,1448,1645,1745,1745,1755,1755,1766,1766,1810,1136,1136,1291,1369,1369,1377,1377,1386,1386,Não,1420,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ESPIRONOLACTONA;FUROSEMIDA,10.588.595/0010-92,SANOFI MEDLEY FARMACÊUTICA LTDA.,576720090086617,1832604440027,7891058439019,    -,    -,LASILACTONA,"(100,0 + 20,0) MG CAP GEL DURA CT BL AL/PLAS TRANS X 30",C3A4 - AGENTES DIURÉTICOS POUPADORES DE POTÁSSIO ASSOCIADOS COM DIURÉTICOS DE ALÇA,Novo,Regulado,4091,4091,4649,4929,4929,4959,4959,4989,4989,5114,3210,3210,3648,3868,3868,3891,3891,3915,3915,Não,4013,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESPIRONOLACTONA;HIDROCLOROTIAZIDA,61.072.393/0001-33,WYETH INDÚSTRIA FARMACÊUTICA LTDA,522718010073017,1211004270014,7891268100303,    -,    -,ALDAZIDA,50 MG + 50 MG COM CT  BL AL PLAS TRANS X 30,C3A5 - AGENTES DIURÉTICOS POUPADORES DE POTÁSSIO ASSOCIADOS COM TIAZIDAS E/OU ANÁLOGOS,Novo,Regulado,2879,2879,3272,3469,3469,3490,3490,3511,3511,3599,2259,2259,2568,2722,2722,2739,2739,2755,2755,Não,2824,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESTAVUDINA,44.734.671/0001-51,CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,506720020081907,1029802330057,7896676410525,    -,    -,SVUDIN,1 MG/ML PO SOL OR CT FR PLAS OPC X 210 ML + CP MED,J5C1 - ANTIVIRAIS ANTI-HIV INIBIDORES DA TRANSCRIPTASE REVERSA NUCLEOSÍDEOS E NUCLEOTÍDEOS,Similar,Regulado,2896,2896,3291,3489,3489,3510,3510,3532,3532,3620,2272,2272,2582,2738,2738,2754,2754,2772,2772,Não,2841,Não,Não,Sim,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ESTAZOLAM,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500205801112313,1055300450578,7891158000195,    -,    -,NOCTAL,2 MG COM CT BL AL PLAS INC X 20,N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS,Novo,Regulado,1429,1429,1624,1722,1722,1732,1732,1743,1743,1786,1121,1121,1274,1351,1351,1359,1359,1368,1368,Não,1401,Não,Não,Não,,Positiva,Sim,Tarja  Preta,"","","","","","","","",""
ÉSTERES ETÍLICOS DOS ÁCIDOS GRAXOS DO ÓLEO DE PAPOULA IODADOS,42.180.406/0001-43,GUERBET PRODUTOS RADIOLÓGICOS LTDA,511000501155412,1498000120032,7897854901378,    -,    -,LIPIODOL UF,480 MG/ML SOL INJ CT  AMP VD TRANS X 10 ML,T1G - AGENTES PARA RADIODIAGNÓSTICO,Similar,Regulado,54093,54093,61469,65172,65172,65567,65567,65967,65967,67616,42447,42447,48235,51140,51140,51450,51450,51764,51764,Sim,53058,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ESTOLATO DE ERITROMICINA,60.659.463/0029-92,ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,500503202111411,1057300260181,7896658000362,    -,    -,ERITREX,500 MG COM CT BL AL PLAS INC X 21,J1F - MACROLIDEOS E SIMILARES,Similar,Regulado,4332,4332,4923,5219,5219,5251,5251,5283,5283,5415,3399,3399,3863,4095,4095,4120,4120,4146,4146,Não,4249,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ESTRADIOL,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523703101111412,1003301030014,7896094201460,    -,    -,NATIFA,1 MG COM REV CT BL AL PLAS TRANS CALEND X 28,"G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F",Similar,Regulado,3554,3554,4039,4282,4282,4308,4308,4334,4334,4443,2789,2789,3169,3360,3360,3381,3381,3401,3401,Não,3487,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ESTRADIOL HEMI-HIDRATADO,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526505802177411,1006808950041,7896261007406,    -,    -,ESTRADOT,50 MCG/DIA ADES TRANSD CT ENV PAP/PLAS PE/AL/PE X 8,"G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F",Similar,Regulado,7172,7172,8150,8641,8641,8693,8693,8746,8746,8965,5628,5628,6395,6781,6781,6821,6821,6863,6863,Não,7035,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESTRADIOL HEMI-HIDRATADO;ACETATO DE NOMEGESTROL,45.987.013/0001-34,ORGANON FARMACÊUTICA LTDA.,525514060016607,1002901860011,7897337710930,    -,    -,STEZZA,"(2,5 + 1,5) MG COM REV CT BL AL PVC CALEND X 24 + 4 PLACEBO",G3A2 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS >=50MCG,Novo,Regulado,2643,2960,3421,3658,3184,3683,3203,3709,3223,3817,2074,2323,2684,2870,2498,2890,2513,2910,2529,Não,2995,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESTRADIOL HEMI-HIDRATADO;ACETATO DE NORETISTERONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523703201116416,1003301060010,7896094201477,    -,    -,NATIFA PRO,"1 MG + 0,5 MG COM REV CT BL AL PLAS TRANS CALEND X 28",G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS,Similar,Regulado,4638,4638,5270,5588,5588,5622,5622,5656,5656,5798,3639,3639,4135,4385,4385,4412,4412,4438,4438,Não,4550,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ESTRADIOL HEMI-HIDRATADO;DIDROGESTERONA,56.998.701/0001-16,ABBOTT LABORATÓRIOS DO BRASIL LTDA,500214100032317,1055303490015,7896255766357,    -,    -,FEMOSTON,1 MG COM REV BCO + (1+ 10) MG COM REV CINZA CT BL AL PLAS INC X ( 14+14),G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS,Novo,Regulado,4651,4651,5285,5604,5604,5638,5638,5672,5672,5814,3650,3650,4147,4397,4397,4424,4424,4451,4451,Não,4562,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ESTRADIOL HEMI-HIDRATADO;DROSPIRENONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523721060045804,1003302120017,7896094210424,    -,    -,CECI,(2 +1) MG COM REV CT BL AL PLAS PVC/PCTFE TRANS X 28,G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS,Similar,Regulado,6788,6788,7714,8178,8178,8228,8228,8278,8278,8485,5327,5327,6053,6417,6417,6457,6457,6496,6496,Não,6658,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
ESTRADIOL;ACETATO DE NORETISTERONA,56.994.502/0001-30,NOVARTIS BIOCIENCIAS S.A,526505401172417,1006801520023,7896261004931,    -,    -,ESTALIS,50 MCG + 140 MCG STT CT 8 ENV X 1,G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS,Novo,Regulado,8164,8164,9277,9836,9836,9896,9896,9956,9956,10205,6406,6406,7280,7718,7718,7765,7765,7812,7812,Não,8008,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ESTREPTOQUINASE,62.969.589/0001-98,CSL BEHRING COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA,502601403159410,1015101160031,7897499450729,    -,    -,STREPTASE,750000 UI PO LIOF INJ CT FA VD INC,B1D - FIBRINOLÍTICOS,Novo,Regulado,51572,51572,58605,62135,62135,62512,62512,62893,62893,64465,40469,40469,45987,48757,48757,49053,49053,49352,49352,Sim,50586,Não,Não,Não,,Positiva,Não,Tarja  Vermelha,"","","","","","","","",""
ESTRIOL,03.560.974/0001-18,MERCK SHARP & DOHME FARMACEUTICA LTDA.,527302702168311,1017100300019,7897572000292,    -,    -,OVESTRION,1 MG/G CREM VAG CT BG AL X 50G + APLIC,"G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F",Novo,Regulado,3358,3358,3816,4046,4046,4070,4070,4095,4095,4198,2635,2635,2994,3175,3175,3194,3194,3213,3213,Não,3294,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESTROGÊNIOS CONJUGADOS,17.562.075/0001-69,CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,506321040038217,1156002180021,7908020502692,    -,    -,MENOPRIN,"0,625 MG COM REV CT BL AL PLAS TRANS CALEND X 28","G3C - ESTRÓGENOS EXCLUINDO G3A, G3E, G3F",Similar,Regulado,2437,2437,2769,2936,2936,2954,2954,2972,2972,3046,1912,1912,2173,2304,2304,2318,2318,2332,2332,Não,2390,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ESZOPICLONA,61.190.096/0001-92,EUROFARMA LABORATÓRIOS S.A.,508018120124702,1004312480065,7891317125639,    -,    -,PRYSMA,2 MG COM REV CT BL AL AL X 20,N5B1 - HIPNÓTICOS E SEDATIVOS NÃO BARBITÚRICOS PUROS,Novo,Regulado,3893,4360,5038,5388,4690,5425,4719,5464,4747,5622,3055,3421,3953,4228,3680,4257,3703,4288,3725,Não,4412,Não,Não,Não,,Negativa,Sim,Tarja Vermelha(*),"","","","","","","","",""
ETABONATO DE LOTEPREDNOL,27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA,503100801176418,1196100050014,7896046300302,    -,    -,ALREX,2 MG/ML SUS OFT CT FR PLAS OPC GOT X 05 ML,S1B - CORTICOSTERÓIDES OFTALMOLÓGICOS,Novo,Regulado,4353,4353,4947,5245,5245,5276,5276,5309,5309,5441,3416,3416,3882,4116,4116,4140,4140,4166,4166,Não,4269,Não,Não,Não,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ETABONATO DE LOTEPREDNOL;TOBRAMICINA,27.011.022/0001-03,BL INDÚSTRIA OTICA LTDA,503101201131314,1196100160022,7896046382308,    -,    -,ZYLET,5 MG/ML + 3 MG/ML SUS OFT CT FR PLAS OPC GOT X 5 ML,S1C1 - ASSOCIAÇÕES OFTALMOLÓGICAS CORTICOSTERÓIDES COM ANTIINFECCIOSOS,Novo,Regulado,2414,2704,3125,3341,2909,3365,2926,3388,2944,3487,1894,2122,2452,2622,2283,2641,2296,2658,2310,Não,2736,Não,Não,Não,,Negativa,Sim,Tarja  Vermelha,"","","","","","","","",""
ETANERCEPTE,61.286.647/0001-16,SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA,511520100072407,1004706290079,7897595633767,    -,    -,ERELZI,50 MG SOL INJ CT BL PLAS X 4 SER VD PREENC C/ AGU X 1 ML,L4B - PRODUTOS ANTI-TNF( FATOR DE NECROSE TUMORAL),Biológico,Regulado,372121,372121,422865,448338,448338,451056,451056,453806,453806,465151,292003,292003,331822,351811,351811,353944,353944,356102,356102,Não,365004,Sim,Não,Não,-7,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ETANOLATO DE DARUNAVIR,51.780.468/0001-87,JANSSEN-CILAG FARMACÊUTICA LTDA,514520040036907,1123633870121,7896212425334,    -,    -,PREZISTA,800 MG COM REV CT FR PLAS OPC X 30,J5C2 - INIBIDORES DA PROTEASE,Novo,Regulado,114209,114209,129783,137601,137601,138435,138435,139279,139279,142761,89620,89620,101841,107976,107976,108630,108630,109292,109292,Não,112025,Não,Não,Sim,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ETINILESTRADIOL,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,526112030083406,1058307940028,7896004734408,    -,    -,DROSPIRENONA + ETINILESTRADIOL,"3 MG + 0,03 MG COM REV CT BL AL PLAS OPC X 21 ",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,Genérico,Regulado,3554,3554,4039,4282,4282,4308,4308,4334,4334,4443,2789,2789,3169,3360,3360,3381,3381,3401,3401,Não,3487,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ETINILESTRADIOL;ACETATO DE NORETISTERONA,18.459.628/0001-15,BAYER S.A.,538912050016113,1705600710018,7891106906029,    -,    -,PRIMOSISTON,"(2 + 0,01) MG COM CT BL AL PLAS TRANS X 30",G3F - ASSOCIAÇÕES DE ESTRÓGENOS E PROGESTÓGENOS,Novo,Regulado,703,703,799,847,847,852,852,857,857,879,552,552,627,665,665,669,669,672,672,Não,690,Não,Não,Não,,Positiva,Não,Tarja Vermelha(*),"","","","","","","","",""
ETINILESTRADIOL;DROSPIRENONA,61.230.314/0001-75,LIBBS FARMACÊUTICA LTDA,523706201117417,1003301240019,7896094207516,    -,    -,ELANI,"3 MG + 0,03 MG COM REV CT BL AL PLAS TRANS CALEND X 28",G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG,Novo,Regulado,4525,4525,5142,5452,5452,5485,5485,5518,5518,5656,3551,3551,4035,4278,4278,4304,4304,4330,4330,Não,4438,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
ETIONAMIDA,33.781.055/0001-35,FUNDAÇÃO OSWALDO CRUZ,541914050004804,1106300780010,7898164510564,    -,    -,FARMANGUINHOS - ETIONAMIDA,250 MG COM REV CT ENV AL POLIET X 500,J4A1 - ANTITUBERCULOSOS PUROS,Similar,Regulado,52296,52296,59427,63007,63007,63389,63389,63776,63776,65370,41037,41037,46632,49442,49442,49741,49741,50045,50045,Sim,51296,Não,Não,Sim,,Positiva,Sim,Tarja  Vermelha,"","","","","","","","",""
ETODOLACO,62.462.015/0001-29,APSEN FARMACEUTICA S/A,501604202113315,1011801460027,7896637023139,    -,    -,FLANCOX,300 MG COM REV CT BL AL PLAS PVC TRANS X 30,M1A1 - ANTIRREUMÁTICOS NÃO ESTEROIDAIS PUROS,Novo,Regulado,3234,3234,3675,3896,3896,3920,3920,3944,3944,4043,2538,2538,2884,3057,3057,3076,3076,3095,3095,Não,3173,Não,Não,Não,,Positiva,Sim,Tarja Vermelha(*),"","","","","","","","",""
